gameid,league,year,date,game,playoffs,side,team,gamelength,result,teamkills,teamdeaths,totalgold,enemy_gold,enemy_team
ESPORTSTMNT01/1270496,DL,2020,1/21/2020 18:00,1,0,Red,Team THRLL,1941,0,8,17,49997,61456,PSV Esports
ESPORTSTMNT03/1300627,GLL,2020,1/21/2020 18:39,1,0,Blue,Intrepid Fox Gaming,1539,1,29,9,54726,36707,Laughing Coffins
ESPORTSTMNT03/1300627,GLL,2020,1/21/2020 18:39,1,0,Red,Laughing Coffins,1539,0,9,29,36707,54726,Intrepid Fox Gaming
ESPORTSTMNT01/1270513,LFL,2020,1/21/2020 18:55,1,0,Blue,Misfits Premier,2053,1,23,11,61578,52000,IZI Dream
ESPORTSTMNT01/1270513,LFL,2020,1/21/2020 18:55,1,0,Red,IZI Dream,2053,0,11,23,52000,61578,Misfits Premier
ESPORTSTMNT01/1280501,PRM,2020,1/21/2020 18:56,1,0,Blue,SK Gaming Prime,2317,1,18,9,68980,60833,GamerLegion
ESPORTSTMNT01/1280501,PRM,2020,1/21/2020 18:56,1,0,Red,GamerLegion,2317,0,8,18,60833,68980,SK Gaming Prime
ESPORTSTMNT01/1280509,DL,2020,1/21/2020 19:04,1,0,Blue,Dynasty,1680,0,4,19,40267,50290,mCon esports Rotterdam
ESPORTSTMNT01/1280509,DL,2020,1/21/2020 19:04,1,0,Red,mCon esports Rotterdam,1680,1,19,4,50290,40267,Dynasty
ESPORTSTMNT03/1300644,GLL,2020,1/21/2020 19:43,1,0,Blue,LUL Esports,1853,1,26,10,60949,52510,Gamespace Mediterranean College Esports
ESPORTSTMNT03/1300644,GLL,2020,1/21/2020 19:43,1,0,Red,Gamespace Mediterranean College Esports,1853,0,10,26,52510,60949,LUL Esports
ESPORTSTMNT01/1280536,PRM,2020,1/21/2020 20:09,1,0,Blue,Berlin International Gaming,2163,0,14,18,58922,66785,mYinsanity
ESPORTSTMNT01/1280536,PRM,2020,1/21/2020 20:09,1,0,Red,mYinsanity,2163,1,18,14,66785,58922,Berlin International Gaming
ESPORTSTMNT01/1270542,DL,2020,1/21/2020 20:13,1,0,Blue,Team THRLL,1431,0,7,15,36268,47271,Defusekids
ESPORTSTMNT01/1270542,DL,2020,1/21/2020 20:13,1,0,Red,Defusekids,1431,1,15,7,47271,36268,Team THRLL
ESPORTSTMNT01/1270545,LFL,2020,1/21/2020 20:16,1,0,Blue,GameWard,2152,1,12,5,63983,57068,Team MCES
ESPORTSTMNT01/1270545,LFL,2020,1/21/2020 20:16,1,0,Red,Team MCES,2152,0,5,12,57068,63983,GameWard
